"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"19TH_5","","Enter/Exit : 20th Street Entrance (East)","20th Street Entrance (East)","37.809","-122.267904","","","2","place_19TH"
"24TH_1","","Enter/Exit : 24th Street @ Mission Street (NE)","24th Street @ Mission Street (NE)","37.75246","-122.418152","","","2","place_24TH"
"24TH_2","","Enter/Exit : 24th Street @ Mission Street (SW)","24th Street @ Mission Street (SW)","37.751976","-122.418726","","","2","place_24TH"
"ASHB_1","","Enter/Exit : Pedestrian station entrance","Pedestrian station entrance","37.853056","-122.269977","","","2","place_ASHB"
"BALB_1","","Enter/Exit : Geneva Ave (South)","Geneva Ave (South)","37.720814","-122.447613","","","2","place_BALB"
"BALB_2","","Enter/Exit : Geneva Ave (North)","Geneva Ave (North)","37.721223","-122.447488","","","2","place_BALB"
"BAYF_1","","Enter/Exit : Pedestrian underpass (SW)","Pedestrian underpass (SW)","37.696913","-122.126928","","","2","place_BAYF"
"BAYF_2","","Enter/Exit : Pedestrian underpass (NW)","Pedestrian underpass (NW)","37.69729","-122.126751","","","2","place_BAYF"
"CAST_1","","Enter/Exit : Station entrance","Station entrance","37.691351","-122.075931","","","2","place_CAST"
"CIVC_1","","Enter/Exit : UN Plaza Stairs","UN Plaza Stairs","37.779761","-122.414126","","","2","place_CIVC"
"CIVC_2","","Enter/Exit : Market Street (E Middle)","Market Street (E Middle)","37.779519","-122.413575","","","2","place_CIVC"
"CIVC_3","","Enter/Exit : Market Street @ 7th Street (NW)","Market Street @ 7th Street (NW)","37.780315","-122.41292","","","2","place_CIVC"
"CIVC_4","","Enter/Exit : Market Street @ 7th Street (NE)","Market Street @ 7th Street (NE)","37.78019","-122.412766","","","2","place_CIVC"
"CIVC_5","","Enter/Exit : Market Street @ Hyde Street (SW)","Market Street @ Hyde Street (SW)","37.77899","-122.414597","","","2","place_CIVC"
"CIVC_6","","Enter/Exit : Market Street @ 8th Street (SE)","Market Street @ 8th Street (SE)","37.778843","-122.414405","","","2","place_CIVC"
"CIVC_7","","Enter/Exit : Market Street @ Grove Street (SE)","Market Street @ Grove Street (SE)","37.778732","-122.415124","","","2","place_CIVC"
"CIVC_8","","Enter/Exit : Market Street South of 8th Street","Market Street South of 8th Street","37.778347","-122.415069","","","2","place_CIVC"
"COLM_2","","Enter/Exit : West Entrance","West Entrance","37.684757","-122.466056","","","2","place_COLM"
"COLS_1","","Enter/Exit : Station entrance (South)","Station entrance (South)","37.753823","-122.197226","","","2","place_COLS"
